universe,cell_id,a_split,protocol_sha256
primary83,b1c34,train,af3ba5ce45bfc446c92f6b426ffee2515d0c6f5582c4c1229d4968e1a8c6ee3b
primary83,b1c35,test,af3ba5ce45bfc446c92f6b426ffee2515d0c6f5582c4c1229d4968e1a8c6ee3b
primary83,b1c36,train,008b01e80cae6d54fa3f5aa5fcb969351df863ae1298e80eba8eec84b6801ce5
primary83,b1c37,test,008b01e80cae6d54fa3f5aa5fcb969351df863ae1298e80eba8eec84b6801ce5
primary83,b1c38,train,ad10bf7d9c4401ada313ae10b2cf5bfb989d012553153b3c868ba69242aede1f
primary83,b1c39,test,ad10bf7d9c4401ada313ae10b2cf5bfb989d012553153b3c868ba69242aede1f
primary83,b1c4,test,86150dc23806b8057848434b3500b222d1bff476d4e2fdcef6a159369ca4c980
primary83,b1c40,train,9d6a58a7bcd247c27561145ce836d2fb3026498ad406e5975b00f90afbf1ed13
primary83,b1c41,test,9d6a58a7bcd247c27561145ce836d2fb3026498ad406e5975b00f90afbf1ed13
primary83,b1c42,train,3338ba7bd154d99946797c9294db04abc97468f52871496fafbf05c6c0140582
primary83,b1c43,test,3338ba7bd154d99946797c9294db04abc97468f52871496fafbf05c6c0140582
primary83,b1c44,train,292a20f59af8a3e856a46a865f2d020af4c49339f28eaf3cc2a24065975e31b0
primary83,b1c45,test,292a20f59af8a3e856a46a865f2d020af4c49339f28eaf3cc2a24065975e31b0
primary83,b1c5,train,acadfd378f365485f6d6f67504b14e95323bc4c53972ac39b9c1359f8d04c65d
primary83,b1c6,test,c9d5dad3c7a342f6caa2276452181d7876d728db682591c54feaa1daa677a184
primary83,b1c7,train,c9d5dad3c7a342f6caa2276452181d7876d728db682591c54feaa1daa677a184
primary83,b1c9,test,8a9c177517eae90651346d20f129e96658b85627ad195b0601610422dde189fe
primary83,b2c0,train,16e302b1d8231ebf98c00f6ca027e64bbfc36058d918bd3f10c3bf39c812e5f7
primary83,b2c10,test,871aaa1dd6ff798c96800d8567980d7f94a668e131e438eae3e96f70921ffc4d
primary83,b2c11,train,38faa40fabfaa09d2f1d91cecc1f696ff788cb45d180663b9b62efa9c2fde448
primary83,b2c12,test,f6d882cee85ce183a98b90042f4d04d2520bebc24e1c7f727291a3166161f039
primary83,b2c13,train,dbc0f40a914c8191cd7ca146c0bfe72ebbea0097d1078bcdafd8ec1a9d3bb912
primary83,b2c14,test,63b9b928c07570d77217e07dffb0ed8e6c3cac58328c78e9b009c8313ed6558a
primary83,b2c17,train,7d07432919ace57f28e4b4975f8f3b860678c0cd0840edb6f430a946e46d1b27
primary83,b2c18,test,33da05641982491dc20ba3d289b3921f6e4ab7f8d1c4d231d03697e55dc3498b
primary83,b2c19,train,84a94467fcc00d9321f2b0e08fe138e796446e41d58517dd5c2d938faa2bfe43
primary83,b2c2,train,fe89832537dfe8d089e63b9bc8252c69d3c05dfdf15857a65dbc05509e220655
primary83,b2c20,test,a0efc0fac88a63aca80a4531c9446dc29ab8caba47f19cf1396dd036164723f2
primary83,b2c21,train,d2155beb64adbd482c2c22af92ea085e6b4bf0620e5fa7f0fdf518921713a798
primary83,b2c22,test,a3c2b7e38e6462eb17974a69ec9a5a073402fdb2a7122b27bea867c6703d0bfd
primary83,b2c23,train,46ef1a8c1328999a574228309a7c856a284cb71e90ddeabfc916aa76721ea4e8
primary83,b2c24,test,c9d5dad3c7a342f6caa2276452181d7876d728db682591c54feaa1daa677a184
primary83,b2c25,train,c9d5dad3c7a342f6caa2276452181d7876d728db682591c54feaa1daa677a184
primary83,b2c26,test,c9d5dad3c7a342f6caa2276452181d7876d728db682591c54feaa1daa677a184
primary83,b2c27,train,c86c054128a7cd3415897f7e27aa962d908146698713d6c9489b533d7445a127
primary83,b2c28,test,2df7fe41897e6971e9b229a6734d558150e1e58a6e8e437413fe47a8640bb4e3
primary83,b2c29,train,0b399365364f466c174479a9559ed1409097156cfac7a671be3c7cba333fcb07
primary83,b2c3,test,6850158b73ca4fec0f68fc54e94e5ee2be2e37a778d0864bf55bbae5ed6ee8a8
primary83,b2c30,test,371243d9a6b6912861fd82ffbe694f9da5176e7f72c990a66bd5b45d3b8e0ea6
primary83,b2c31,train,ecf72241fbe83c6efe51273ef6138c109776d182fd69951ed605162e226d7893
primary83,b2c32,test,d54a80d96ec8ab9d3af9f5a616efa89491f4995dc39cca5f40c7a7e027f1d54a
primary83,b2c33,train,e30c7205e577da262bd3327e024b9504cfe24165add7ce57b9dc2cc84d5980a2
primary83,b2c34,test,c26eb2166c22dca50b3abb4fb01b295c016eb86dceea5b00564d2aa5109736ea
primary83,b2c35,train,39c8849b201eef087206a83301ee27425a3004df6b6eae6eeca509ac25292755
primary83,b2c36,test,a67f37a14bcddc51323ae01376d9f6fe3808691f0201fdcdec9cfe80d5f54134
primary83,b2c37,train,a26d9ee9f7fa59928e5154d31c79308dc04b9f71c13e43c122ac2490b9898d8a
primary83,b2c38,test,fa5c864f807041e96de016419aa4025ba9a0c09a388f67427691de37cdedd179
primary83,b2c39,train,eb13dec9f01ac6c5a17c77a3e6c3e234cbc30e60924fdcf16f5a2fce89d1031f
primary83,b2c4,train,576a205e78357e655fb6f898656d64a7b86b8adad97a7ad3ead076b6b7745ed5
primary83,b2c40,test,08688b34a29da711d8f2bf9bbb7de976d133445c758892dba34df0b5c717bdd3
primary83,b2c41,train,531302618d06170d2fe74185fe49602df22a92b000b6a585e702ab203da37c4f
primary83,b2c42,test,56bdb1d4a749848c539bd4c5e8818be883e966c7e819919a638506e2510d1f77
primary83,b2c43,train,4104b695d0a2c28faf85bf8d6d5de7e71bc00ded4df7b1f0cc2840354567ef35
primary83,b2c44,test,06397e0fda460c0d36758aea52df517dd4a61db164b5f1b3bbeb80440faabe05
primary83,b2c45,train,2b361a396140b5716a9c291e272f1bb039605d52381f18f7827e3f256da0730e
primary83,b2c46,test,39fb92b2e0b9adaed8d18c9dc5f1081079d8e132bc6a7bcb5c819af8acfbfb66
primary83,b2c47,test,d29abe6a774bde8d26cec4800085196ad588d349a8658b262ee22fc78d8daf5f
primary83,b2c5,test,9526e29445c9c0aafc4e4877a6cdb9ec560418f39f6dfedfdf670ed80eaf3049
primary83,b2c6,train,44d706e475373c4418245c5c7462aeadf339242f29e673bf7019c31fb0677d86
